Wall time,Step,Value
1525887507,0,1.383001328
1525887675,1,2.692044735
1525887842,2,1.584671974
1525888009,3,1.300700426
1525888177,4,1.572900295
1525888344,5,1.453947544
1525888511,6,1.754333854
1525888680,7,1.724025726
1525888849,8,1.960085869
1525889018,9,1.845831752
1525889187,10,1.489833117
1525889356,11,1.628346562
1525889526,12,1.510231614
1525889695,13,1.87829423
1525889864,14,1.559805274
1525890033,15,1.590267897
1525890203,16,1.61015439
1525890373,17,1.595001459
1525890542,18,1.407386661
1525890711,19,1.685347438
1525890880,20,1.459803581
1525891050,21,1.323892474
1525891219,22,1.325813532
1525891389,23,1.410199761
1525891558,24,1.305252075
1525891727,25,1.404539108
1525891897,26,1.185271382
1525892066,27,1.220508456
1525892236,28,1.477952719
1525892405,29,1.174049973
1525892575,30,1.341928363
1525892743,31,1.175680995
1525892912,32,1.085835934
1525893081,33,1.332480788
1525893250,34,1.401818871
1525893419,35,1.152818084
1525893587,36,1.167497754
1525893756,37,1.064165115
1525893925,38,1.152278543
1525894094,39,1.235134482
1525894263,40,1.09699738
1525894431,41,0.939820945
1525894600,42,0.917896271
1525894769,43,0.93310982
1525894938,44,0.996964514
1525895106,45,0.814269722
1525895274,46,0.814154804
1525895443,47,0.694070458
1525895612,48,0.834542036
1525895781,49,0.642244577
1525895950,50,0.571810126
1525896119,51,0.61482662
1525896287,52,0.68766892
1525896456,53,0.642302036
1525896625,54,0.615274668
1525896794,55,0.50893712
1525896963,56,0.513983369
1525897132,57,0.376733273
1525897301,58,0.385998338
1525897470,59,0.477146
1525897639,60,0.575680673
1525897808,61,0.487030596
1525897976,62,0.363867015
1525898145,63,0.485444844
1525898314,64,0.414775789
1525898483,65,0.392271459
1525898652,66,0.468726069
1525898821,67,0.431276441
1525898991,68,0.446036696
1525899160,69,0.596510112
1525899328,70,0.41580382
1525899497,71,0.287418485
1525899665,72,0.335633218
1525899834,73,0.278804898
1525900002,74,0.382676572
1525900170,75,0.255312055
1525900339,76,0.279741585
1525900507,77,0.176717088
1525900676,78,0.197318524
1525900845,79,0.236589924
1525901013,80,0.241923988
1525901181,81,0.256851047
1525901350,82,0.186322719
1525901518,83,0.13296856
1525901686,84,0.319487214
1525901854,85,0.310231149
1525902023,86,0.194628298
1525902191,87,0.235135719
1525902359,88,0.182581276
1525902528,89,0.183871225
1525902696,90,0.177576765
1525902865,91,0.149765968
1525903034,92,0.189683169
1525903203,93,0.315211058
1525903372,94,0.188105017
1525903541,95,0.331923872
1525903710,96,0.161337599
1525903879,97,0.154953718
1525904049,98,0.199995816
1525904218,99,0.343773395
1525904387,100,0.284951419
1525904556,101,0.139420599
1525904725,102,0.141469613
1525904894,103,0.139479563
1525905063,104,0.19019796
1525905231,105,0.161125362
1525905400,106,0.208845884
1525905569,107,0.133045956
1525905738,108,0.105251633
1525905907,109,0.132120326
