Wall time,Step,Value
1525887507,0,2.019972563
1525887675,1,1.164223671
1525887842,2,1.210482597
1525888009,3,1.328587532
1525888177,4,1.019983411
1525888344,5,1.14664793
1525888511,6,0.893132508
1525888680,7,0.935052514
1525888849,8,0.792918265
1525889018,9,0.946885824
1525889187,10,1.011716962
1525889356,11,1.039888978
1525889526,12,0.904437065
1525889695,13,0.730819225
1525889864,14,0.889604211
1525890033,15,0.916251302
1525890203,16,0.809675932
1525890373,17,0.830457091
1525890542,18,0.950171113
1525890711,19,0.778435707
1525890880,20,0.796046257
1525891050,21,0.843120813
1525891219,22,0.826020241
1525891389,23,0.752448678
1525891558,24,0.881592155
1525891727,25,0.822769403
1525891897,26,0.891714036
1525892066,27,0.931785285
1525892236,28,0.746640503
1525892405,29,0.869811952
1525892575,30,0.915444374
1525892743,31,0.925764918
1525892912,32,1.058241725
1525893081,33,0.81798774
1525893250,34,1.016764641
1525893419,35,0.983861446
1525893587,36,1.106371164
1525893756,37,1.287574053
1525893925,38,1.27129817
1525894094,39,1.387064099
1525894263,40,1.14102149
1525894431,41,1.590976596
1525894600,42,1.306036353
1525894769,43,1.246099591
1525894938,44,1.286019802
1525895106,45,1.570792317
1525895274,46,1.22206831
1525895443,47,1.707341194
1525895612,48,1.494973063
1525895781,49,1.90026927
1525895950,50,1.785554528
1525896119,51,1.575362802
1525896287,52,1.985330343
1525896456,53,1.373776913
1525896625,54,1.786234617
1525896794,55,2.333431244
1525896963,56,1.715656042
1525897132,57,2.262787819
1525897301,58,2.342414856
1525897470,59,2.182469368
1525897639,60,1.660100818
1525897808,61,1.685323596
1525897976,62,2.529983759
1525898145,63,1.727556348
1525898314,64,2.215713024
1525898483,65,1.947729468
1525898652,66,2.711644888
1525898821,67,2.178856134
1525898991,68,1.94496572
1525899160,69,1.365496635
1525899328,70,2.07815218
1525899497,71,2.740040541
1525899665,72,2.211981535
1525899834,73,2.9729743
1525900002,74,4.113090038
1525900170,75,2.93824935
1525900339,76,2.943541765
1525900507,77,3.500909328
1525900676,78,3.444944859
1525900845,79,3.274267673
1525901013,80,3.65499568
1525901181,81,4.085122108
1525901350,82,5.246005535
1525901518,83,3.431965828
1525901686,84,2.402539968
1525901854,85,2.700244188
1525902023,86,3.494414091
1525902191,87,4.40812397
1525902359,88,3.495164871
1525902528,89,3.440876007
1525902696,90,3.138117313
1525902865,91,4.245106697
1525903034,92,3.800379515
1525903203,93,2.474693298
1525903372,94,3.249004364
1525903541,95,2.289189577
1525903710,96,3.654177427
1525903879,97,3.924508572
1525904049,98,3.267659664
1525904218,99,2.478108168
1525904387,100,2.311094046
1525904556,101,3.961103439
1525904725,102,3.363718748
1525904894,103,3.623619318
1525905063,104,3.019237041
1525905231,105,3.713371515
1525905400,106,2.985936642
1525905569,107,5.332433701
1525905738,108,4.131595135
1525905907,109,4.411121368
