Wall time,Step,Value
1525832299,0,0.999522567
1525832421,1,2.193310499
1525832543,2,2.457678795
1525832665,3,4.431338787
1525832786,4,1.524108529
1525832908,5,1.90702796
1525833029,6,1.247625947
1525833150,7,1.115486622
1525833271,8,1.793834925
1525833392,9,1.54997921
1525833513,10,1.881483912
1525833633,11,0.982432008
1525833754,12,1.043557286
1525833875,13,1.752082825
1525833996,14,1.460843205
1525834117,15,1.566774607
1525834238,16,1.436228752
1525834360,17,0.917273402
1525834481,18,0.979719222
1525834602,19,1.289290905
1525834723,20,1.470026851
1525834844,21,1.447480798
1525834964,22,1.027910709
1525835085,23,1.320178628
1525835206,24,1.503620505
1525835327,25,1.033877134
1525835448,26,2.705113411
1525835571,27,1.411158442
1525835692,28,0.948374987
1525835813,29,1.893072844
1525835933,30,1.230657339
1525836054,31,0.940685809
1525836175,32,1.109714985
1525836296,33,1.942325115
1525836417,34,1.4897964
1525836538,35,1.21854341
1525836658,36,2.046411514
1525836779,37,1.536427021
1525836900,38,0.885291994
1525837021,39,1.172378063
1525837142,40,1.21396172
1525837263,41,1.346739173
1525837384,42,1.352995872
1525837504,43,1.462845564
1525837625,44,1.295559645
1525837746,45,1.287247896
1525837867,46,1.009951115
1525837988,47,0.983272254
1525838109,48,1.586976409
1525838231,49,1.260703444
1525838352,50,1.316021442
1525838474,51,1.114685774
1525838595,52,1.24303174
1525838716,53,1.43269372
1525838838,54,1.108438492
1525838959,55,1.539325953
1525839080,56,1.347087264
1525839201,57,1.304523349
1525839323,58,1.269415617
1525839444,59,1.568801641
1525839565,60,1.417131901
1525839686,61,1.303916454
1525839808,62,1.191012144
1525839929,63,1.476313353
1525840050,64,1.459251523
1525840171,65,1.273248196
1525840292,66,1.347255945
1525840413,67,1.790992022
1525840533,68,1.541812539
1525840654,69,1.150028706
1525840775,70,1.292156696
1525840897,71,1.208276033
1525841022,72,1.402585626
1525841146,73,1.206227541
1525841271,74,1.088342547
1525841396,75,1.296119928
1525841521,76,1.368852377
1525841645,77,1.174729586
1525841770,78,1.324468374
1525841894,79,1.207595348
1525842018,80,1.248076797
1525842142,81,1.603754759
1525842266,82,1.203644037
1525842390,83,1.484164715
1525842514,84,1.412719846
1525842639,85,1.519260406
1525842764,86,1.218868136
1525842888,87,1.41049397
1525843012,88,1.300904512
1525843136,89,1.239047408
1525843260,90,1.281672001
1525843384,91,1.317430019
1525843507,92,1.216596723
1525843630,93,1.308455706
1525843753,94,1.065967798
1525843876,95,1.319741726
1525843998,96,1.178380609
1525844121,97,1.047733307
1525844243,98,1.16300571
1525844365,99,1.07314682
1525844487,100,0.895826757
1525844617,101,0.97556746
1525844740,102,1.033219814
1525844880,103,1.354492903
1525845003,104,0.999141634
1525845140,105,1.365795612
1525845262,106,1.254102707
1525845384,107,0.920603395
1525845506,108,1.192742348
1525845628,109,0.766823828
1525845751,110,0.952406287
1525845899,111,1.016900778
1525846021,112,0.823955595
1525846153,113,0.979876101
1525846294,114,0.685144246
1525846418,115,0.92825675
1525846562,116,1.153014898
1525846686,117,0.64676249
1525846810,118,1.271506786
1525846933,119,0.646672249
1525847983,0,1.176124573
1525848151,1,0.933500171
1525848270,2,1.111367226
1525848390,3,0.575498343
1525848509,4,1.142699361
1525848629,5,0.783480883
1525848748,6,0.757744491
1525848868,7,0.720868409
1525848987,8,0.931696713
1525849107,9,0.86417836
1525849226,10,0.768640518
1525849346,11,0.529421806
1525849465,12,0.647253633
1525849583,13,0.664789855
1525849701,14,0.508426309
1525849819,15,0.749494135
1525849937,16,0.783932388
1525850055,17,0.804209292
1525850173,18,1.003303647
1525850291,19,0.871021926
