Wall time,Step,Value
1525888865,0,0.330587327
1525889110,1,0.318557829
1525889355,2,0.315064013
1525889601,3,0.611710012
1525889847,4,0.313264728
1525890092,5,0.313953727
1525890337,6,0.313276976
1525890583,7,0.313261986
1525890828,8,0.314449459
1525891074,9,0.313261837
1525891319,10,0.313263893
1525891565,11,0.313613504
1525891810,12,0.313261658
1525892056,13,0.313369155
1525892301,14,0.313261658
1525892546,15,0.313289315
1525892792,16,0.315423459
1525893037,17,0.313261658
1525893282,18,0.313366234
1525893528,19,0.31340614
1525893773,20,0.313261658
1525894018,21,0.313508332
1525894263,22,0.313261658
1525894508,23,0.313263148
1525894753,24,0.313261658
1525894999,25,0.313261658
1525895244,26,0.326140791
1525895489,27,0.313261777
1525895734,28,0.313263834
1525895979,29,0.313262135
1525896224,30,0.313270152
1525896469,31,0.313261658
1525896715,32,0.31336543
1525896960,33,0.313261658
1525897205,34,0.313261658
1525897450,35,0.313261658
1525897695,36,0.313262105
1525897940,37,0.313609987
1525898185,38,0.313261658
1525898430,39,0.313261658
1525898675,40,0.313261658
1525898921,41,0.313261658
1525899166,42,0.313261658
1525899411,43,0.313261658
1525899656,44,0.313261658
1525899901,45,0.313261658
1525900146,46,0.313268632
1525900391,47,0.313261658
1525900636,48,0.313261658
1525900881,49,0.313261658
1525901126,50,0.313261658
1525901371,51,0.313261658
1525901616,52,0.313261658
1525901861,53,0.313261658
1525902106,54,0.313405603
1525902351,55,0.313261658
1525902596,56,0.313261658
1525902841,57,0.313261658
1525903086,58,0.313261658
1525903331,59,0.313261747
1525903576,60,0.313302994
1525903821,61,0.313261658
1525904066,62,0.313265532
1525904311,63,0.313261658
1525904556,64,0.313261658
1525904801,65,0.313261658
1525905046,66,0.313261658
1525905292,67,0.313261658
1525905537,68,0.313261658
1525905782,69,0.313261658
1525906027,70,0.313261658
1525906272,71,0.313261658
1525906517,72,0.313261658
1525906762,73,0.313261658
1525907007,74,0.313261658
1525907252,75,0.313261837
1525907497,76,0.313261658
1525907742,77,0.313261658
1525907986,78,0.313261658
1525908231,79,0.313261658
1525908476,80,0.313261658
1525908721,81,0.313261718
1525908965,82,0.313261658
1525909210,83,0.313261658
1525909454,84,0.313261658
1525909699,85,0.313261658
1525909944,86,0.313261658
1525910189,87,0.313261658
1525910434,88,0.313261658
1525910678,89,0.313261658
1525910924,90,0.313261658
1525911168,91,0.313261658
1525911413,92,0.313261658
1525911658,93,0.313261658
1525911903,94,0.313261747
1525912147,95,0.313261658
1525912392,96,0.313261658
1525912637,97,0.313261718
1525912882,98,0.313261658
1525913127,99,0.313264042
1525913371,100,0.313261658
1525913617,101,0.313261658
1525913862,102,0.313261658
1525914107,103,0.313261658
1525914352,104,0.313261658
1525914597,105,0.313598186
1525914841,106,0.313261658
1525915086,107,0.313261658
1525915331,108,0.313261658
1525915576,109,0.313262761
1525915820,110,0.313261658
1525916065,111,0.313261658
1525916309,112,0.313261658
1525916554,113,0.313264281
1525916798,114,0.313261658
1525917043,115,0.313261658
1525917287,116,0.313261658
1525917532,117,0.313261658
1525917777,118,0.313261658
1525918022,119,0.313261658
1525918267,120,0.313261658
1525918512,121,0.313261658
1525918758,122,0.313261658
1525919003,123,0.313261658
1525919248,124,0.313261658
