Wall time,Step,Value
1525888865,0,0.247762516
1525889110,1,0.015901837
1525889355,2,0.107041731
1525889601,3,0.002014516
1525889847,4,0.172269806
1525890092,5,0.045868114
1525890337,6,0.051407158
1525890583,7,0.000293505
1525890828,8,0.037880711
1525891074,9,0.008088788
1525891319,10,0.029449839
1525891565,11,0.021607833
1525891810,12,0.031098343
1525892056,13,0.057097424
1525892301,14,0.004422406
1525892546,15,0.014592421
1525892792,16,0.039426327
1525893037,17,0.025305124
1525893282,18,0.004881069
1525893528,19,0.032500178
1525893773,20,0.016713295
1525894018,21,0.091743357
1525894263,22,0.043789636
1525894508,23,0.065084137
1525894753,24,0.066587329
1525894999,25,0.098375939
1525895244,26,0.13699232
1525895489,27,0.088138126
1525895734,28,0.056109883
1525895979,29,0.149008825
1525896224,30,0.029545382
1525896469,31,0.018660001
1525896715,32,0.254523307
1525896960,33,0.128685609
1525897205,34,0.140663311
1525897450,35,0.146691233
1525897695,36,0.08279106
1525897940,37,0.08737535
1525898185,38,0.034843713
1525898430,39,0.036562979
1525898675,40,0.23865056
1525898921,41,0.21824795
1525899166,42,0.057949129
1525899411,43,0.419659555
1525899656,44,0.056085128
1525899901,45,0.401270002
1525900146,46,0.140782863
1525900391,47,0.058970578
1525900636,48,0.114968233
1525900881,49,0.063873686
1525901126,50,0.030720454
1525901371,51,0.077197731
1525901616,52,0.04377858
1525901861,53,0.018594366
1525902106,54,0.047932833
1525902351,55,0.074768215
1525902596,56,0.071460091
1525902841,57,0.173431069
1525903086,58,0.015979443
1525903331,59,0.137903616
1525903576,60,0.023216559
1525903821,61,0.038174152
1525904066,62,0.048959356
1525904311,63,0.034984965
1525904556,64,0.064825706
1525904801,65,0.011136582
1525905046,66,0.148695305
1525905292,67,0.070361368
1525905537,68,0.005289449
1525905782,69,0.131143704
1525906027,70,0.052015468
1525906272,71,0.018736945
1525906517,72,0.022904145
1525906762,73,0.027415976
1525907007,74,0.001211589
1525907252,75,0.02571645
1525907497,76,0.017475912
1525907742,77,0.059059463
1525907986,78,0.035811555
1525908231,79,0.078843795
1525908476,80,0.059829805
1525908721,81,0.071304731
1525908965,82,0.039430942
1525909210,83,0.013721424
1525909454,84,0.025819128
1525909699,85,0.015762636
1525909944,86,0.018606991
1525910189,87,0.012483237
1525910434,88,0.022217147
1525910678,89,0.016853895
1525910924,90,0.045164768
1525911168,91,0.000740929
1525911413,92,0.022054974
1525911658,93,0.028029235
1525911903,94,0.04799765
1525912147,95,0.009406973
1525912392,96,0.140277117
1525912637,97,0.028880259
1525912882,98,0.037017349
1525913127,99,0.040816084
1525913371,100,0.070830673
1525913617,101,0.088096447
1525913862,102,0.036036223
1525914107,103,0.048579831
1525914352,104,0.010404255
1525914597,105,0.009467541
1525914841,106,0.011058792
1525915086,107,0.017132007
1525915331,108,0.065979138
1525915576,109,0.047812697
1525915820,110,0.005401697
1525916065,111,0.186838195
1525916309,112,0.001619198
1525916554,113,0.078922749
1525916798,114,0.020181244
1525917043,115,0.015167417
1525917287,116,0.007679099
1525917532,117,0.00678603
1525917777,118,0.05613742
1525918022,119,0.024767272
1525918267,120,0.065385908
1525918512,121,0.037073638
1525918758,122,0.13211368
1525919003,123,0.022552513
1525919248,124,0.027767435
