Wall time,Step,Value
1525888865,0,17.02909279
1525889110,1,6.534727097
1525889355,2,8.922316551
1525889601,3,17.46029282
1525889847,4,6.93245697
1525890092,5,6.789401054
1525890337,6,5.784719467
1525890583,7,14.38897133
1525890828,8,8.786854744
1525891074,9,8.755856514
1525891319,10,8.334733963
1525891565,11,8.717480659
1525891810,12,11.42396832
1525892056,13,7.748278618
1525892301,14,15.11692333
1525892546,15,9.044416428
1525892792,16,17.48063278
1525893037,17,7.83617878
1525893282,18,10.09058189
1525893528,19,8.368203163
1525893773,20,9.659505844
1525894018,21,8.358673096
1525894263,22,7.249495506
1525894508,23,8.971057892
1525894753,24,8.965496063
1525894999,25,11.25427246
1525895244,26,11.92143059
1525895489,27,6.84805584
1525895734,28,8.734762192
1525895979,29,5.215532303
1525896224,30,7.831913948
1525896469,31,8.234969139
1525896715,32,5.640183926
1525896960,33,4.885245323
1525897205,34,5.579030514
1525897450,35,4.220981121
1525897695,36,9.148563385
1525897940,37,6.078948498
1525898185,38,6.796774864
1525898430,39,8.740686417
1525898675,40,4.650765419
1525898921,41,4.235006809
1525899166,42,10.86625957
1525899411,43,2.927903652
1525899656,44,9.386256218
1525899901,45,10.96300602
1525900146,46,4.093357086
1525900391,47,8.492247581
1525900636,48,4.53332901
1525900881,49,6.563148499
1525901126,50,8.837828636
1525901371,51,6.158154488
1525901616,52,5.382669449
1525901861,53,8.924458504
1525902106,54,11.87216091
1525902351,55,6.167888641
1525902596,56,5.965572357
1525902841,57,14.48248386
1525903086,58,8.733008385
1525903331,59,6.921853065
1525903576,60,7.220089436
1525903821,61,7.775244236
1525904066,62,12.76737499
1525904311,63,9.093126297
1525904556,64,7.295628548
1525904801,65,7.525043964
1525905046,66,4.479839325
1525905292,67,5.442476273
1525905537,68,9.840549469
1525905782,69,14.4354353
1525906027,70,5.653076172
1525906272,71,9.200939178
1525906517,72,6.653292179
1525906762,73,9.580564499
1525907007,74,9.991037369
1525907252,75,8.297344208
1525907497,76,6.85364151
1525907742,77,12.31350708
1525907986,78,7.277954102
1525908231,79,5.609889984
1525908476,80,5.024262428
1525908721,81,5.783450127
1525908965,82,6.964684486
1525909210,83,8.291963577
1525909454,84,12.38474655
1525909699,85,9.472186089
1525909944,86,8.094661713
1525910189,87,6.561574936
1525910434,88,9.418926239
1525910678,89,8.214351654
1525910924,90,8.280225754
1525911168,91,11.44055271
1525911413,92,7.409918785
1525911658,93,10.68651104
1525911903,94,10.40026474
1525912147,95,8.958078384
1525912392,96,8.93585968
1525912637,97,7.161359787
1525912882,98,6.34114933
1525913127,99,6.877923489
1525913371,100,4.968137264
1525913617,101,5.995488167
1525913862,102,14.49825764
1525914107,103,7.17761898
1525914352,104,7.821109772
1525914597,105,12.01671791
1525914841,106,13.31905365
1525915086,107,7.018981934
1525915331,108,11.12210751
1525915576,109,5.7158885
1525915820,110,7.133100986
1525916065,111,11.75115967
1525916309,112,10.72654724
1525916554,113,5.152989388
1525916798,114,6.67539072
1525917043,115,6.340096951
1525917287,116,7.751526833
1525917532,117,11.02989578
1525917777,118,6.328965187
1525918022,119,7.115302086
1525918267,120,9.266644478
1525918512,121,5.889926434
1525918758,122,10.42268944
1525919003,123,6.641476631
1525919248,124,8.396903992
