Wall time,Step,Value
1525842699,0,76.2542572
1525842904,4,65.42018127
1525842955,5,64.95481873
1525843006,6,64.63020325
1525843109,8,64.29421997
1525843160,9,64.20380402
1525843212,10,64.14204407
1525843417,14,64.0316391
1525843520,16,64.01425171
1525843622,18,64.00642395
1525843725,20,64.00266266
1525843776,21,64.00167847
1525843879,23,64.00068665
1525843931,24,64.00040436
1525844085,27,64.00005341
1525844188,29,63.99999237
1525844239,30,63.99997711
1525844393,33,63.99995422
1525844547,36,63.99995422
1525844753,40,63.99996185
1525844856,42,63.99996567
1525844908,43,63.99996567
1525845064,46,63.99996567
1525845271,50,63.99996948
1525845322,51,63.99996948
1525845374,52,63.99996948
1525845426,53,63.99996948
1525845581,56,63.99996948
1525845632,57,63.99996948
1525845684,58,63.9999733
1525845787,60,63.9999733
1525845839,61,63.99997711
1525845891,62,63.99997711
1525845994,64,63.9999733
1525846045,65,63.99997711
1525846200,68,63.99997711
1525846252,69,63.99997711
1525846355,71,63.99997711
1525846459,73,63.99998474
1525846510,74,63.99997711
1525846562,75,63.99998093
1525846769,79,63.99998093
1525846924,82,63.99997711
1525846975,83,63.99998093
1525847027,84,63.99998093
1525847079,85,63.99998093
1525847234,88,63.99998474
1525847389,91,63.99998093
1525847441,92,63.99998093
1525847493,93,63.99998093
1525847544,94,63.99998474
1525847596,95,63.99998093
1525847700,97,63.99998093
1525847855,100,63.99998093
1525848010,103,63.99998474
1525848217,107,63.99998474
1525848268,108,63.99998474
1525848320,109,63.99998474
1525848372,110,63.99998856
1525848424,111,63.99998474
1525848527,113,63.99998474
1525848579,114,63.99998474
1525848786,118,63.99998474
1525848941,121,63.99998474
1525848993,122,63.99998474
1525849096,124,63.99998474
