Wall time,Step,Value
1525939823,0,0.103635088
1525939861,1,0.092055231
1525939898,2,0.099066615
1525939935,3,0.089596093
1525939973,4,0.085796624
1525940010,5,0.09225215
1525940048,6,0.083302528
1525940086,7,0.081219852
1525940123,8,0.085183963
1525940161,9,0.08272925
1525940198,10,0.08695738
1525940236,11,0.08366815
1525940274,12,0.086758614
1525940312,13,0.087499753
1525940349,14,0.088280007
1525940387,15,0.083639115
1525940425,16,0.083936468
1525940463,17,0.07868427
1525940501,18,0.084687263
1525940539,19,0.082058772
1525940577,20,0.088656113
1525940615,21,0.078245848
1525940653,22,0.078454629
1525940690,23,0.08012192
1525940728,24,0.083460875
1525940766,25,0.085546449
1525940804,26,0.076497614
1525940842,27,0.083604664
1525940880,28,0.078257352
1525940918,29,0.085282728
1525940956,30,0.079771116
1525940994,31,0.083551899
1525941032,32,0.078884438
1525941070,33,0.079376712
1525941108,34,0.081570715
1525941145,35,0.080530256
1525941183,36,0.08319705
1525941221,37,0.081161737
1525941259,38,0.079506755
1525941297,39,0.077103451
1525941335,40,0.079709291
1525941373,41,0.079212874
1525941410,42,0.082467839
1525941448,43,0.077523962
1525941485,44,0.086215466
1525941523,45,0.078568071
1525941561,46,0.080315486
1525941599,47,0.08032269
1525941636,48,0.076714404
1525941675,49,0.076293595
1525941714,50,0.081269771
1525941752,51,0.078043371
1525941790,52,0.08224269
1525941829,53,0.079365954
1525941867,54,0.08020322
1525941905,55,0.081879035
1525941944,56,0.077410772
1525941982,57,0.073270656
1525942020,58,0.080614239
1525942059,59,0.084384739
1525942098,60,0.080390148
1525942136,61,0.074272893
1525942174,62,0.077462569
1525942213,63,0.083297655
1525942251,64,0.081560835
1525942289,65,0.083504856
